id;imdb_id;titulo;poster_path;puntuacion_media;votos;contgeneros;id_genero;id_genero;id_genero;id_genero;id_genero;id_genero;id_genero;id_genero
59;tt0399146;A History of Violence;/mz1qCHXxTUJm2AqOdW3IIpwYdo3.jpg;6,9;850;3;18;53;80;;;;;
62;tt0062622;2001: A Space Odyssey;/90T7b2LIrL07ndYQBmSm09yqVEH.jpg;7,9;3075;3;878;9648;12;;;;;
63;tt0114746;Twelve Monkeys;/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg;7,4;2470;3;878;53;9648;;;;;
65;tt0298203;8 Mile;/dXzTrKwpbLpCqn8O70FUUhNbYQT.jpg;6,8;1676;1;18;;;;;;;
66;tt0118548;Absolute Power;/oJQdp09Oc51DkArsMDvgDLdWiDu.jpg;6,4;226;3;80;18;53;;;;;
67;tt0445620;Paradise Now;/qWZkYa8VdcDZk8uzRB2PfhpM9IL.jpg;6,9;63;3;53;80;18;;;;;
68;tt0088846;Brazil;/55Vfc1beLn3pJF4Lw83TRKHenK6.jpg;7,6;877;2;35;878;;;;;;
69;tt0358273;Walk the Line;/wdxL3Zyh3O5MIbmsSiZEevJAjtQ.jpg;7,3;732;3;18;10402;10749;;;;;
70;tt0405159;Million Dollar Baby;/h4VZKi2Jt4VoBYJmtC4c3bO8KqM.jpg;7,7;2519;1;18;;;;;;;
71;tt0249462;Billy Elliot;/6VaP1H3MOW5jdkWqS5Q1NapCOS6.jpg;7,4;774;3;18;35;10402;;;;;
73;tt0120586;American History X;/fXepRAYOx1qC3wju7XdDGx60775.jpg;8,2;3120;1;18;;;;;;;
74;tt0407304;War of the Worlds;/xXMM9KY2eq1SDOQif9zO91YOBA8.jpg;6,2;2397;3;12;53;878;;;;;
75;tt0116996;Mars Attacks!;/gaTuHICwavPUmqQzPZFEXKSRwsC.jpg;6,1;1544;3;35;14;878;;;;;
76;tt0112471;Before Sunrise;/jsQy4ZbPHA8hE2O6QU05PpofI61.jpg;7,7;984;2;18;10749;;;;;;
77;tt0209144;Memento;/fQMSaP88cf1nz4qwuNEEFtazuDM.jpg;8,1;4168;2;9648;53;;;;;;
78;tt0083658;Blade Runner;/p64TtbZGCElxQHpAMWmDHkWJlH2.jpg;7,9;3833;3;878;18;53;;;;;
80;tt0381681;Before Sunset;/gycdE1ARByGQcK4fYR2mgpU6OO.jpg;7,6;734;2;18;10749;;;;;;
82;tt0430357;Miami Vice;/3BsNsigWcET4tKLZZhJegw7eOjF.jpg;5,7;494;4;28;12;80;53;;;;
83;tt0374102;Open Water;/hua2eluUhiLvKqwHFPV2aTiY8pp.jpg;5,3;320;2;18;53;;;;;;
85;tt0082971;Raiders of the Lost Ark;/44sKJOGP3fTm4QXBcIuqu0RkdP7.jpg;7,7;3949;2;12;28;;;;;;
87;tt0087469;Indiana Jones and the Temple of Doom;/f2nTRKk2zGdUTE7tLJ5EGGSuKA6.jpg;7,1;2841;2;12;28;;;;;;
88;tt0092890;Dirty Dancing;/zMHIZHxKv6kdE3JFQqZFqj7OswK.jpg;7,1;1371;3;18;10402;10749;;;;;
89;tt0097576;Indiana Jones and the Last Crusade;/4p1N2Qrt8j0H8xMHMHvtRxv9weZ.jpg;7,6;3221;2;12;28;;;;;;
90;tt0086960;Beverly Hills Cop;/s7n0rS2Ff85SuSpqYG3ndkmdQf4.jpg;6,8;985;3;28;35;80;;;;;
92;tt0169024;Megacities;/svOFuJ0W3UTLqof10DVejjq94sw.jpg;7;3;1;99;;;;;;;
93;tt0052561;Anatomy of a Murder;/kDFnM2zlHZirR2ItTo56lyrxuAS.jpg;7,7;207;4;80;18;9648;53;;;;
95;tt0120591;Armageddon;/coINnuCzcw5FMHBty8hcudMOBnO.jpg;6,5;2540;4;28;53;878;12;;;;
96;tt0092644;Beverly Hills Cop II;/2y1z1baxKT0coTTRlnkI6McnR9f.jpg;6,1;627;3;28;35;80;;;;;
97;tt0084827;Tron;/cTF8lpXvAwT1SLH9kVFZZl0AO0D.jpg;6,6;717;3;878;28;12;;;;;
98;tt0172495;Gladiator;/6WBIzCgmDCYrqh64yDREGeDk9d3.jpg;7,9;5566;3;28;18;12;;;;;
100;tt0120735;Lock, Stock and Two Smoking Barrels;/qV7QaSf7f7yC2lc985zfyOJIAIN.jpg;7,5;1671;2;35;80;;;;;;
103;tt0075314;Taxi Driver;/yxq4pk1xGmro8tQABuQIrWrvdaE.jpg;8,1;2632;2;80;18;;;;;;
105;tt0088763;Back to the Future;/pTpxQB1N0waaSc3OSn0e9oc8kx9.jpg;8;6239;4;12;35;878;10751;;;;
106;tt0093773;Predator;/bj7A0teF2TWxxNGZjWTXiGrvCu2.jpg;7,3;2129;4;878;28;12;53;;;;
107;tt0208092;Snatch;/on9JlbGEccLsYkjeEph2Whm1DIp.jpg;7,7;2953;2;53;80;;;;;;
111;tt0086250;Scarface;/zr2p353wrd6j3wjLgDT4TcaestB.jpg;8;3017;4;28;80;18;53;;;;
114;tt0100405;Pretty Woman;/fgmdaCMxXClZm2ePteLzCPySB1n.jpg;7;1807;2;10749;35;;;;;;
115;tt0118715;The Big Lebowski;/qiE3ovg9TPylHReZjizQ40LsKZV.jpg;7,8;3001;2;35;80;;;;;;
116;tt0416320;Match Point;/80iHkrFzNxbSxlfMaLaNkGFRK2r.jpg;7,2;1134;4;18;53;80;10749;;;;
117;tt0094226;The Untouchables;/qx4CDBhJDX5LQoVZ8UXPxQy5pt7.jpg;7,6;1424;4;80;18;36;53;;;;
118;tt0367594;Charlie and the Chocolate Factory;/dvHl1dYvaZRhj9Gk0ITcCHr4DIJ.jpg;6,7;3759;4;12;35;10751;14;;;;
120;tt0120737;The Lord of the Rings: The Fellowship of the Ring;/bxVxZb5O9OxCO0oRUNdCnpy9NST.jpg;8;8892;3;12;14;28;;;;;
121;tt0167261;The Lord of the Rings: The Two Towers;/wf3v0Pn09jnT5HSaYal7Ami3bdA.jpg;8;7641;3;12;14;28;;;;;
122;tt0167260;The Lord of the Rings: The Return of the King;/uexxR7Kw1qYbZk0RYaF9Rx5ykbj.jpg;8,1;8226;3;12;14;28;;;;;
123;tt0077869;The Lord of the Rings;/1l3WpoF7TX9pOprX4XepCXjQXUV.jpg;6,1;187;4;14;18;16;12;;;;
132;tt0065780;The Rolling Stones: Gimme Shelter;/3UR6YSrz1nIQ84inth4emIPcEOT.jpg;7,8;42;2;99;10402;;;;;;
133;tt0054205;Primary;/hMOpeTZTF4MNiGcJVbqJAgqUOHx.jpg;7;6;1;99;;;;;;;
134;tt0190590;O Brother, Where Art Thou?;/eIqSzq6j3yuxNmifiUOh6iTpG9N.jpg;7,3;1144;3;28;12;35;;;;;
135;tt0061589;Dont Look Back;/zvhF0dug5OL3NYENkDjHU89cr4I.jpg;7,5;35;2;99;10402;;;;;;
136;tt0022913;Freaks;/9hmmE4K6tOEXB1KeTajIC0pNta6.jpg;7,7;228;2;18;27;;;;;;
137;tt0107048;Groundhog Day;/vXjVd0Vu0MXRZnga7wEnHIIhO5B.jpg;7,4;2358;4;10749;14;18;35;;;;
138;tt0021814;Dracula;/hA9kQrIwDHJKl1pt8GpJdDnBzim.jpg;7,2;254;1;27;;;;;;;
141;tt0246578;Donnie Darko;/nmb4QhCRmdfNP6rgb81yUFgI83l.jpg;7,7;3574;3;14;18;9648;;;;;
142;tt0388795;Brokeback Mountain;/z2DqVxj17aW6xpimRlCLfhKSfUm.jpg;7,5;1531;2;18;10749;;;;;;
143;tt0020629;All Quiet on the Western Front;/9gn5ce3B2vOpk9pOGeUjmFecIo5.jpg;7,5;166;2;18;10752;;;;;;
148;tt0430576;The Secret Life of Words;/rlJWRiW74PAIrozd2d6X7e61Rq9.jpg;6,8;52;2;18;10749;;;;;;
150;tt0083511;48 Hrs.;/rq8NvwC5tC2E8SNU1CF8iJJErNQ.jpg;6,5;364;5;53;28;35;80;18;;;
152;tt0079945;Star Trek: The Motion Picture;/ys5Sgpc27mVo3H5zYLPV9LWDq5.jpg;6,2;541;3;878;12;9648;;;;;
153;tt0335266;Lost in Translation;/5T8VvuFTdaawKLJk34i69Utaw7o.jpg;7,3;1943;1;18;;;;;;;
155;tt0468569;The Dark Knight;/1hRoyzDtpgMU7Dz4JF22RANzQO7.jpg;8,3;12269;4;18;28;80;53;;;;
157;tt0088170;Star Trek III: The Search for Spock;/b9ZaPiD6AaZR7CgQP5P4Kg893QL.jpg;6,4;443;4;878;28;12;53;;;;
161;tt0240772;Ocean's Eleven;/o0h76DVXvk5OKjmNez5YY0GODC2.jpg;7,2;3857;2;53;80;;;;;;
162;tt0099487;Edward Scissorhands;/kgLTB53HinftRRwhft7yrUOclDC.jpg;7,5;3731;3;14;18;10749;;;;;
163;tt0349903;Ocean's Twelve;/nS3iDLQuy13XY1JH58NNl1rCuNN.jpg;6,4;2169;2;53;80;;;;;;
164;tt0054698;Breakfast at Tiffany's;/c95lbDwL5WT8PV9DZsdSvRtXKNA.jpg;7,6;1082;3;35;18;10749;;;;;
165;tt0096874;Back to the Future Part II;/k5dzvCQkXU2CAhLtlj9BHE7xmyK.jpg;7,4;3926;4;12;35;10751;878;;;;
167;tt0272152;K-PAX;/pCZxl9Si7i46nduSqUSzFdHYiEO.jpg;7,1;710;2;18;878;;;;;;
168;tt0092007;Star Trek IV: The Voyage Home;/62nATuMKuaLhd5VHKumHOrJnCZa.jpg;6,9;490;2;878;12;;;;;;
169;tt0100403;Predator 2;/4cAQgbIPislEeBJahLO5BsqAUZN.jpg;6;743;3;878;28;53;;;;;
170;tt0289043;28 Days Later;/xaYdxi1PBEAYvqknvAmMPK5Eff3.jpg;7,1;1816;3;27;53;878;;;;;
172;tt0098382;Star Trek V: The Final Frontier;/kugwPq2E5IkzrgoxRycnoqqUS9H.jpg;5,6;384;4;878;28;12;53;;;;
173;tt0046672;20,000 Leagues Under the Sea;/pdi0lk5a0Yaq2HAk5v7SAj8oxT7.jpg;6,9;160;3;12;18;878;;;;;
174;tt0102975;Star Trek VI: The Undiscovered Country;/5PvIZAOFDe63M1oByFEFDoQobkc.jpg;6,7;421;4;878;28;12;53;;;;
176;tt0387564;Saw;/dHYvIgsax8ZFgkz1OslE4V6Pnf5.jpg;7,2;2255;3;27;9648;80;;;;;
177;tt0101889;The Fisher King;/x93W5WrOOr3PCia1cANnWmAtUwQ.jpg;7,2;346;2;35;18;;;;;;
178;tt0109303;Blown Away;/elDZEW6wkGHTAwIUDrNMARNgxPY.jpg;6;126;3;18;28;53;;;;;
179;tt0373926;The Interpreter;/aAW4W8x41TwWQUQpLQqkWNQbtlv.jpg;6,2;400;2;80;53;;;;;;
180;tt0181689;Minority Report;/h3lpltSn7Rj1eYTPQO1lYGdw4Bz.jpg;7,1;2663;4;28;53;878;9648;;;;
182;tt0452624;The Good German;/3LjHC2CWDkzoiPehf3GViujws0.jpg;5,9;87;6;10752;80;18;9648;10749;53;;
183;tt0098663;The Wizard;/xGNirmikw9OXsfR9NYQKmsxb5nF.jpg;6,1;83;5;12;35;18;10751;10749;;;
184;tt0119396;Jackie Brown;/4XVPYOdMAizdNMSwS0SK3fPJcvR.jpg;7,3;1580;3;35;80;10749;;;;;
185;tt0066921;A Clockwork Orange;/kgAi87gyx6b4oGJYSC36tVkJyJu.jpg;8;3432;2;878;18;;;;;;
186;tt0425210;Lucky Number Slevin;/jtKq0EtothAzWlnRBBWGCA8uFuu.jpg;7,4;1356;4;18;53;80;9648;;;;
187;tt0401792;Sin City;/vKJVGOKPyWqp9d2EX5NH1liqRqR.jpg;7,2;2755;3;28;53;80;;;;;
189;tt0458481;Sin City: A Dame to Kill For;/k80qKrJ0qQ6ocVo5N932stNSg6j.jpg;6,3;1314;2;80;53;;;;;;
192;tt0091605;The Name of the Rose;/dk3Vmp86t4lacnI3sQuU9ihOCUh.jpg;7,2;739;3;18;53;9648;;;;;
193;tt0111280;Star Trek: Generations;/wjrXjlNpDq9U8vYmAwf420yDFtn.jpg;6,4;461;4;878;28;12;53;;;;
195;tt0023622;Trouble in Paradise;/ryD4JeSYCix4rEfpmQRM8rJXSFm.jpg;7,3;48;2;35;10749;;;;;;
196;tt0099088;Back to the Future Part III;/6DmgPTZYaug7QNDjOhUDWyjOQDl.jpg;7,1;2978;4;12;35;10751;878;;;;
197;tt0112573;Braveheart;/2qAgGeYdLjelOEqjW9FYvPHpplC.jpg;7,7;3404;4;28;18;36;10752;;;;
198;tt0035446;To Be or Not to Be;/ug5R6fdOhud4hbb5O6pn1snSEFJ.jpg;7,7;119;2;35;10752;;;;;;
199;tt0117731;Star Trek: First Contact;/qhVB8eUGwkdVvd8Fezk0AgcMPDH.jpg;7;671;4;878;28;12;53;;;;
200;tt0120844;Star Trek: Insurrection;/sQdiBAMZ8mq9Eb9fQX1Z7HZHUVs.jpg;6,3;402;4;878;28;12;53;;;;
201;tt0253754;Star Trek: Nemesis;/n4TpLWPi062AofIq4kwmaPNBSvA.jpg;6,1;488;4;878;28;12;53;;;;
203;tt0070379;Mean Streets;/3awGnJPs7XmGyCB2eFdxVm6GlGd.jpg;7,2;359;2;18;80;;;;;;
205;tt0395169;Hotel Rwanda;/ux6TRpqIOv6h8VJAiDVQBy2LBBH.jpg;7,5;805;3;18;36;10752;;;;;
206;tt0287624;Paradise Found;/yyEpqB4yfqHkWerCbeD9UD6ZqRc.jpg;6,8;6;1;18;;;;;;;
207;tt0097165;Dead Poets Society;/3Ri2GReavqSHqWemlP6HYn8i2P9.jpg;8,1;2786;1;18;;;;;;;
213;tt0053125;North by Northwest;/aNV789h3oHm2pTHK5Bdq5RuiumZ.jpg;7,8;1062;2;9648;53;;;;;;
214;tt0489270;Saw III;/zHMw9xGrNlrDsuK6Lnx5NlL72Eu.jpg;6,1;1104;3;27;53;80;;;;;
215;tt0432348;Saw II;/vC7ggR8njwtQOZRmrSvMtHqy9hx.jpg;6,3;1288;1;27;;;;;;;
217;tt0367882;Indiana Jones and the Kingdom of the Crystal Skull;/qY1x6v5daMDTr904G3y84WVgpfC.jpg;5,7;2558;2;12;28;;;;;;
218;tt0088247;The Terminator;/q8ffBuxQlYOHrvPniLgCbmKK4Lv.jpg;7,4;4208;3;28;53;878;;;;;
220;tt0048028;East of Eden;/hjH1uLOySpzgBdm1UQYjTV5yLav.jpg;7,5;163;1;18;;;;;;;
221;tt0048545;Rebel Without a Cause;/bEAoNvtqvO0c2lItNkKlKUqhPuw.jpg;7,6;351;1;18;;;;;;;
223;tt0032976;Rebecca;/eIkJjEbQcPasYvoNHKueFrfgpX4.jpg;7,7;346;2;18;9648;;;;;;
226;tt0171804;Boys Don't Cry;/6bqIZTEuJnUrgnxcymciszvOz8J.jpg;7,2;360;2;80;18;;;;;;
227;tt0086066;The Outsiders;/35K8ItoRuD7i0VBqjj8bEX0Ct6E.jpg;6,9;293;2;80;18;;;;;;
229;tt0026138;Bride of Frankenstein;/7YOfYQ6yhpBYWOh8vFQYfo2mm5I.jpg;7,4;208;2;27;878;;;;;;
231;tt0365737;Syriana;/ArLpoafsdFhs5USOn2AUsEIImxI.jpg;6,3;455;2;18;53;;;;;;
232;tt0086216;Rumble Fish;/pwXuTYNhKucg40HzEhUQDpm2FQm.jpg;6,8;141;5;28;12;80;18;10749;;;
233;tt0080117;The Wanderers;/l76lnVXe34KumtSd28dSHqZ9Uw5.jpg;7,2;55;1;18;;;;;;;
235;tt0092005;Stand by Me;/kedC0y75jdzByjuZNLOWIOtduNw.jpg;7,8;1568;2;80;18;;;;;;
236;tt0110598;Muriel's Wedding;/qoZShHm8QTrHAR80LypwI0SYp8I.jpg;6,9;104;3;18;35;10749;;;;;
237;tt0289635;Young Adam;/eZDKfjjI5IhqKCOLHonTvKpPnNr.jpg;5,9;46;4;18;53;80;10749;;;;
238;tt0068646;The Godfather;/rPdtLWNsZmAtoZl9PK7S2wE3qiS.jpg;8,5;6024;2;18;80;;;;;;
239;tt0053291;Some Like It Hot;/pxc9EFCMYkItESpqqrI783yl8Gh.jpg;8;835;2;35;10749;;;;;;
240;tt0071562;The Godfather: Part II;/bVq65huQ8vHDd1a4Z37QtuyEvpA.jpg;8,3;3418;2;18;80;;;;;;
241;tt0110632;Natural Born Killers;/w5sruoTQ87PFAGRJQyyaCOM1C4A.jpg;6,9;927;3;80;53;18;;;;;
242;tt0099674;The Godfather: Part III;/1hdm3Axw9LjITbApvAXBbqO58zE.jpg;7,1;1589;3;80;18;53;;;;;
243;tt0146882;High Fidelity;/sEZKCUFU6Ozf7hZ3UuaKWUqHLTZ.jpg;7;636;4;35;18;10749;10402;;;;
244;tt0024216;King Kong;/vXInYahVp31uL8wZORckaoHq565.jpg;7,7;346;4;28;12;18;27;;;;
245;tt0276751;About a Boy;/1kz4Q2v7cxwNnTfkjrujzWAVCne.jpg;6,6;627;3;18;35;10749;;;;;
247;tt0049406;The Killing;/eUfj1NXxd7yIiCrqAOUm1MYL2CQ.jpg;7,7;290;4;18;28;53;80;;;;
248;tt0055312;Pocketful of Miracles;/4s5aoejcKbCawjESf2nCHIF67QZ.jpg;7,3;25;2;35;18;;;;;;
249;tt0098621;The War of the Roses;/jxHChKyDopLcDHvulDo4EVppCCr.jpg;6,7;288;3;35;18;53;;;;;
251;tt0099653;Ghost;/rtxy3cplRFPUvruZajpcoxOQ7bi.jpg;6,9;1381;5;14;18;53;9648;10749;;;
252;tt0067992;Willy Wonka & the Chocolate Factory;/b94qXd1FcIwgzv0NYMUe2bjrzJR.jpg;7,4;826;2;10751;14;;;;;;
253;tt0070328;Live and Let Die;/p34OScaro2KdISrT4EMfeh1aS0E.jpg;6,4;540;3;12;28;53;;;;;
254;tt0360717;King Kong;/iQYMVoI9QE2wQCOSrxhiBYd4v0w.jpg;6,6;2403;3;12;18;28;;;;;
257;tt0380599;Oliver Twist;/ggQoLWChnmYaSdY1anfS6GqATNO.jpg;6,7;283;3;80;18;10751;;;;;
260;tt0026029;The 39 Steps;/9v283GWj9a0AC8wwC4zriNqY1lZ.jpg;7,4;217;3;28;53;9648;;;;;
261;tt0051459;Cat on a Hot Tin Roof;/2ILe9TXCB4bOcVwsV6cUChir0SR.jpg;7,6;168;2;18;10749;;;;;;
262;tt0085794;The King of Comedy;/pbAqLKoLydP7jl6P0vmYwlDtRPD.jpg;7,6;306;2;35;18;;;;;;
268;tt0096895;Batman;/kBf3g9crrADGMc2AMAMlLBgSm2h.jpg;7;2145;2;14;28;;;;;;
272;tt0372784;Batman Begins;/dr6x4GyyegBWtinPBzipY02J2lV.jpg;7,5;7511;3;28;80;18;;;;;
274;tt0102926;The Silence of the Lambs;/qjAyTj2BSth1EQ89vNfo0JYVPFN.jpg;8,1;4549;3;80;18;53;;;;;
275;tt0116282;Fargo;/pyEkyYgtyjOX1R9EYyUcgbK1sTn.jpg;7,7;2080;3;80;18;53;;;;;
277;tt0320691;Underworld;/rdkxl5iXdpVU188cL1LLG3sy6z4.jpg;6,6;2556;3;14;28;53;;;;;
278;tt0111161;The Shawshank Redemption;/9O7gLzmreU0nGkIB6K3BsJbzvNv.jpg;8,5;8358;2;18;80;;;;;;
279;tt0086879;Amadeus;/flnoqdC38mbaulAeptjynOFO7yi.jpg;7,8;1107;3;18;36;10402;;;;;
280;tt0103064;Terminator 2: Judgment Day;/2y4dmgWYRMYXdD1UyJVcn2HSd1D.jpg;7,7;4274;3;28;53;878;;;;;
281;tt0114558;Strange Days;/rXvy5hG9OeVmgnv9w4IhQxhqEKD.jpg;6,8;334;4;80;18;878;53;;;;
284;tt0053604;The Apartment;/6OH3HlplEGoGjqeqRmWaVBGqbav.jpg;8,1;498;3;35;18;10749;;;;;
285;tt0449088;Pirates of the Caribbean: At World's End;/bXb00CkHqx7TPchTGG131sWV59y.jpg;6,9;4627;3;12;14;28;;;;;
287;tt0094812;Bull Durham;/wZwXLiR1cisTXaJiuBLvgkS5HWw.jpg;6,6;154;2;35;10749;;;;;;
288;tt0044706;High Noon;/teFvLNdppclC01dZodBTyaP3lGK.jpg;7,6;343;1;37;;;;;;;
289;tt0034583;Casablanca;/wOBKAoUJZb5qTsWv5XXvVV2vUzz.jpg;7,9;1462;2;18;10749;;;;;;
290;tt0101410;Barton Fink;/e0YvBTPwIL6Jb29glF3LE9n8GH2.jpg;7,4;450;2;35;18;;;;;;
291;tt0389326;Riding Giants;/A7QTmd5wzeJKkr2FZCcqsefrku1.jpg;7,6;23;1;99;;;;;;;
292;tt0425598;Dave Chappelle's Block Party;/hemHNgWePU3sYwI9LD7INOJWWBQ.jpg;6,5;29;3;35;99;10402;;;;;
293;tt0105265;A River Runs Through It;/xX4H1hZG9IgSRkC0LANbPQ0StJi.jpg;7;241;1;18;;;;;;;
294;tt0089015;Desert Hearts;/vlQBjV04m8Xb6G1LuDYjtm0IB9p.jpg;6,7;21;2;18;10749;;;;;;
296;tt0181852;Terminator 3: Rise of the Machines;/lz4xYdF1n09lyiCfZWtWT44SZiG.jpg;5,9;2177;3;28;53;878;;;;;
297;tt0119643;Meet Joe Black;/nlxPnkZY3vY1iehJriKMQcT6eua.jpg;6,9;1174;3;14;18;9648;;;;;
298;tt0496806;Ocean's Thirteen;/5QTc2a782KkHwz4NntHMDgcp3PX.jpg;6,5;2040;2;80;53;;;;;;
299;tt0054135;Ocean's Eleven;/lSPXGEp4EpFOPIUg9FKIKF72m50.jpg;6,6;79;4;53;10402;35;80;;;;
301;tt0053221;Rio Bravo;/x0XFYNOAPROkYaYG8CeS75BJXxC.jpg;7,6;265;1;37;;;;;;;
302;tt0324133;Swimming Pool;/mHV60wGXvvkMR9ebVO5UWvxL716.jpg;6,5;154;2;53;80;;;;;;
303;tt0038787;Notorious;/pi5YexkEQ9BZIWovB5SyPmjCBjG.jpg;7,8;345;3;53;18;10749;;;;;
306;tt0109254;Beverly Hills Cop III;/tw9gAhqQcBFX0X0XfVbWqUsmzoU.jpg;5,5;445;3;28;35;80;;;;;
308;tt0412019;Broken Flowers;/pvtdRUpJE6YjIi8BLEZ7jhEdeN1.jpg;6,8;359;4;35;18;9648;10749;;;;
310;tt0315327;Bruce Almighty;/y5TEe8Qbgn91dwqVm9FqE2PEL4Q.jpg;6,4;3121;2;14;35;;;;;;
311;tt0087843;Once Upon a Time in America;/fqP3Q7DWMFqW7mh11hWXbNwN9rz.jpg;8,3;1104;2;18;80;;;;;;
313;tt0448124;Snow Cake;/2jd8daNxgHAX9rOdxyrnm6yK8py.jpg;7,3;51;2;10749;18;;;;;;
314;tt0327554;Catwoman;/3E1XPZ2lZmL4lJV1KSUi1jaSx3w.jpg;4,2;833;2;28;80;;;;;;
315;tt0059170;Faster, Pussycat! Kill! Kill!;/u0YrGkpjL5H190qqEsQavZ2WrV5.jpg;6,5;59;2;28;80;;;;;;
318;tt0120753;The Million Dollar Hotel;/4wxOzpCjXY2RQgS3YoHuvKdItTF.jpg;5,9;76;2;18;53;;;;;;
319;tt0108399;True Romance;/xBO8R3CZfrJ9rrwrZoJ68PgJyAR.jpg;7,5;762;4;28;53;80;10749;;;;
320;tt0278504;Insomnia;/zb0D3vfjcPFvuyHp1mFPOIcYJWH.jpg;6,8;1181;3;80;9648;53;;;;;
321;tt0330602;Mambo Italiano;/szNHpPmrQkynnpZJtFjkemfEjDk.jpg;5,6;28;2;35;10749;;;;;;
322;tt0327056;Mystic River;/qeHasONCKH5sR9HcTWquXI5ZN5y.jpg;7,6;1473;4;53;80;18;9648;;;;
326;tt0417148;Snakes on a Plane;/dbt9YEAPZjd0LbaK1r8UnOZp2Uv.jpg;5,1;504;4;28;80;27;53;;;;
329;tt0107290;Jurassic Park;/c414cDeQ9b6qLPLeKmiJuLDUREJ.jpg;7,6;4956;2;12;878;;;;;;
330;tt0119567;The Lost World: Jurassic Park;/u1fXmEQUCI9CjyHCCYOPBSq2DYo.jpg;6,2;2528;3;12;28;878;;;;;
331;tt0163025;Jurassic Park III;/26L7XODsNlxX3VwkfuUnYOslbRF.jpg;5,7;2109;4;12;28;53;878;;;;
332;tt0141369;Inspector Gadget;/kvlKBGtyyNVyGJB72aD1vwPk2d4.jpg;4,3;322;4;28;12;35;10751;;;;
333;tt0303785;Bollywood/Hollywood;/n8J2PfCcgErDWSMhjdmJBBmQIDY.jpg;6,1;4;4;35;18;10402;10749;;;;
334;tt0175880;Magnolia;/jxkHxPiMfGiFvxSOduNV4oIKJI5.jpg;7,5;844;1;18;;;;;;;
339;tt0102536;Night on Earth;/aREHjLD3kwQFcL1ncNOx8ggDGxA.jpg;7,5;165;2;35;18;;;;;;
340;tt0404030;Everything is Illuminated;/A3uFw8whRO8Td2pkTRMGlbIh4Op.jpg;7,4;251;2;35;18;;;;;;
343;tt0067185;Harold and Maude;/xqay68babjK46U9WBFD2TmtnGcx.jpg;7,7;266;3;35;18;10749;;;;;
345;tt0120663;Eyes Wide Shut;/zTuqPq1PBsIoG2DV9NgKPgdaoSX.jpg;7,1;1266;2;9648;18;;;;;;
